99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
99,0,0,0,0,6,0,0,0,0,99,0,0,990,0,5,0,0,0,11,0,6,0,0,0,0,0,6,99
99,0,11,0,0,0,0,0,11,0,0,0,0,4,0,0,11,0,0,0,0,0,11,0,0,0,0,0,99
99,0,0,99,99,99,99,0,99,99,99,0,0,99,0,99,0,0,99,99,99,0,11,99,99,99,11,11,99
99,0,0,99,2,99,4,0,99,6,0,0,0,99,6,99,0,0,99,6,68,0,4,99,820,99,0,11,99
99,0,0,99,0,99,0,0,99,99,99,0,0,99,0,99,0,0,99,99,99,11,0,99,99,99,11,0,99
99,0,0,99,0,99,0,11,99,0,0,0,0,99,0,99,0,0,99,820,820,0,0,99,99,6,0,11,99
99,11,0,99,0,99,0,0,99,99,99,0,0,0,99,3,99,0,99,99,99,0,0,99,0,99,11,11,99
99,0,0,4,0,4,0,0,0,99,82,0,0,0,0,11,0,99,0,0,0,0,0,0,0,0,11,0,99
99,0,0,0,0,0,69,0,0,99,3,0,4,0,0,0,0,0,99,0,0,4,0,0,0,0,0,0,99
99,0,11,99,99,99,0,0,99,99,99,0,0,99,99,99,11,0,99,99,99,0,0,11,990,0,0,0,99
99,11,11,99,0,0,0,0,99,820,99,0,0,99,820,99,0,0,99,6,99,0,0,99,6,99,82,0,99
99,11,6,99,0,99,0,11,99,820,99,11,0,99,820,99,0,0,99,0,99,0,11,99,99,99,0,0,99
99,11,11,99,6,99,0,6,99,820,99,0,0,99,820,99,0,333,99,11,99,0,0,99,820,99,0,4,99
99,0,11,99,99,99,0,99,99,99,99,99,3,99,0,99,99,99,99,0,99,0,0,99,820,99,0,6,99
99,0,11,11,11,0,0,0,0,6,0,0,99,0,0,0,0,0,0,0,0,0,99,0,0,0,69,99,99
99,0,11,11,11,0,0,0,0,0,0,11,99,0,69,0,11,0,0,0,96,99,11,0,0,0,0,0,99
99,0,0,99,99,99,909,909,99,99,99,0,99,99,0,99,99,99,99,99,99,909,11,99,99,99,4,0,99
99,0,0,99,0,0,0,11,6,99,820,0,0,99,0,99,0,0,99,6,86,0,4,99,99,99,82,82,99
99,0,0,99,0,99,0,0,0,99,820,11,0,99,0,99,0,0,99,99,99,11,0,909,1,990,0,11,99
99,0,0,99,6,99,0,0,3,99,820,0,0,99,6,99,820,0,99,820,820,0,0,99,99,99,0,4,99
99,6,0,99,99,99,0,82,99,99,99,0,0,0,99,820,820,11,99,99,99,0,0,99,99,99,11,0,99
99,11,0,4,0,0,0,0,0,0,0,99,96,0,11,0,0,0,0,0,0,0,909,0,0,4,4,0,99
99,990,0,0,0,0,0,0,0,11,0,0,99,0,0,0,0,0,0,11,0,99,0,990,82,6,0,420,99
99,0,99,0,0,0,333,99,99,99,99,0,0,99,0,99,0,4,99,820,99,11,11,99,99,99,4,0,99
99,0,0,99,820,99,99,0,99,820,99,0,0,99,0,99,0,0,99,820,99,11,0,99,820,99,0,0,99
99,11,0,99,820,99,0,0,99,820,99,0,11,99,0,99,909,909,99,820,99,11,0,99,99,99,0,0,99
99,3,0,0,99,0,0,0,99,6,990,0,3,99,6,99,0,0,99,820,99,0,11,99,11,0,0,6,99
99,99,99,0,99,420,4,99,99,99,99,99,99,99,99,99,0,0,99,99,99,11,0,99,0,0,99,99,99
99,0,0,0,99,0,6,0,11,0,0,0,11,0,4,0,0,11,0,0,0,82,0,0,0,4,0,820,99
99,6,11,0,4,0,11,0,0,0,4,0,0,0,0,11,0,0,0,4,0,0,0,11,0,0,0,820,99
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
